Tue Mar 26 14:56:33 2024    program.prof

         2897415 function calls (2871004 primitive calls) in 375.989 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.094    0.094 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\rcsetup.py:1(<module>)
        1    0.000    0.000    0.091    0.091 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\generic.py:1(<module>)
      801    0.013    0.000    0.087    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\indexing.py:728(_get_setitem_indexer)
      195    0.005    0.000    0.083    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\generic.py:5574(_reindex_with_indexers)
  200/199    0.007    0.000    0.081    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\indexes\base.py:6896(insert)
        1    0.000    0.000    0.078    0.078 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\program_control.py:21(__init__)
      223    0.001    0.000    0.078    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\artist.py:1422(__init__)
      223    0.012    0.000    0.076    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\artist.py:1442(get_aliases)
    75/47    0.000    0.000    0.076    0.002 <frozen importlib._bootstrap_external>:1239(exec_module)
    75/47    0.018    0.000    0.075    0.002 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.075    0.075 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\main_gui.py:8(__init__)
        1    0.000    0.000    0.075    0.075 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\main_gui.py:21(setup_window)
     7377    0.007    0.000    0.072    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\re\__init__.py:272(_compile)
        1    0.000    0.000    0.072    0.072 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\axes\_axes.py:1(<module>)
    42075    0.072    0.000    0.072    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.071    0.071 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\arrays\__init__.py:1(<module>)
        4    0.000    0.000    0.071    0.018 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\program_control.py:126(<lambda>)
        1    0.000    0.000    0.069    0.069 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\patches.py:1(<module>)
     2679    0.002    0.000    0.068    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      195    0.003    0.000    0.067    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\internals\managers.py:606(reindex_indexer)
  695/690    0.001    0.000    0.067    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
     2703    0.067    0.000    0.067    0.000 {built-in method nt.stat}
        1    0.000    0.000    0.065    0.065 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\main_gui.py:12(setup_gui)
    12218    0.063    0.000    0.063    0.000 {method 'format' of 'str' objects}
     3576    0.037    0.000    0.062    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\queue.py:97(empty)
      244    0.001    0.000    0.062    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\re\_compiler.py:740(compile)
      195    0.004    0.000    0.060    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\internals\managers.py:670(<listcomp>)
     2613    0.004    0.000    0.060    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:2534(grid_configure)
      801    0.004    0.000    0.060    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\internals\managers.py:363(setitem)
        1    0.000    0.000    0.058    0.058 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\axes\_base.py:1(<module>)
        6    0.000    0.000    0.058    0.010 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\serial\serialwin32.py:245(close)
        3    0.058    0.019    0.058    0.019 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\serial\serialwin32.py:229(_close)
        1    0.000    0.000    0.057    0.057 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\mpl_toolkits\mplot3d\__init__.py:1(<module>)
    42524    0.057    0.000    0.057    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.055    0.055 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\licks_window.py:1(<module>)
        1    0.000    0.000    0.055    0.055 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\widgets.py:1(<module>)
      801    0.009    0.000    0.055    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\internals\managers.py:308(apply)
        1    0.000    0.000    0.054    0.054 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandastable\__init__.py:1(<module>)
        1    0.000    0.000    0.054    0.054 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\mpl_toolkits\mplot3d\axes3d.py:1(<module>)
      776    0.006    0.000    0.052    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\internals\blocks.py:1041(take_nd)
        1    0.000    0.000    0.052    0.052 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\_libs\__init__.py:1(<module>)
      801    0.004    0.000    0.051    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\indexing.py:959(_convert_tuple)
        1    0.000    0.000    0.051    0.051 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\collections.py:1(<module>)
        8    0.000    0.000    0.050    0.006 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\main_gui.py:476(update_progress_bar)
      800    0.012    0.000    0.050    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\internals\managers.py:1045(iset)
      223    0.018    0.000    0.050    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\artist.py:1517(get_setters)
   136466    0.049    0.000    0.049    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.049    0.049 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:2306(__init__)
     5771    0.004    0.000    0.049    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\re\__init__.py:173(search)
     5181    0.031    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        1    0.000    0.000    0.049    0.049 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\_fontconfig_pattern.py:1(<module>)
        1    0.049    0.049    0.049    0.049 {built-in method _tkinter.create}
    42093    0.048    0.000    0.048    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:1937(__init__)
        1    0.000    0.000    0.047    0.047 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pyparsing\__init__.py:1(<module>)
        1    0.000    0.000    0.046    0.046 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\numpy\__config__.py:1(<module>)
        9    0.000    0.000    0.046    0.005 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\axes\_base.py:729(__init_subclass__)
      801    0.004    0.000    0.046    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\indexing.py:963(<listcomp>)
        1    0.000    0.000    0.045    0.045 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\main_gui.py:32(update_size)
        1    0.000    0.000    0.045    0.045 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\numpy\core\__init__.py:1(<module>)
        1    0.000    0.000    0.045    0.045 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\_libs\tslibs\__init__.py:1(<module>)
    43271    0.044    0.000    0.044    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.044    0.044 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\arrays\arrow\__init__.py:1(<module>)
      776    0.004    0.000    0.043    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\array_algos\take.py:59(take_nd)
     1602    0.011    0.000    0.042    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\indexing.py:1414(_convert_to_indexer)
       75    0.000    0.000    0.042    0.001 <frozen importlib._bootstrap_external>:1231(create_module)
        1    0.000    0.000    0.041    0.041 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\numpy\lib\__init__.py:1(<module>)
        1    0.000    0.000    0.041    0.041 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\arrays\arrow\array.py:1(<module>)
       75    0.037    0.000    0.041    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.041    0.041 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\colors.py:1(<module>)
187003/181880    0.035    0.000    0.039    0.000 {built-in method builtins.len}
